ItemNum,Item,Procedure,TrialType,BlockNumber,Imageability,Frequency,Regularity,WordType,PrecedingWordType,PartofSpeech
39,brooch,showtrial,Real,6,low,low,irregular,LI_LF_Irr,HI_LF_Irr,Noun
40,heard,showtrial,Real,6,low,high,irregular,LI_HF_Irr,LI_LF_Irr,Verb
41,theme,showtrial,Real,6,low,high,regular,LI_HF_Reg,LI_HF_Irr,Noun
42,pike,showtrial,Real,6,high,low,regular,HI_LF_Reg,LI_HF_Reg,Noun
43,crow,showtrial,Real,6,high,low,irregular,HI_LF_Irr,HI_LF_Reg,Noun
44,term,showtrial,Real,6,low,high,regular,LI_HF_Reg,HI_LF_Irr,Noun
45,must,showtrial,Real,6,low,high,regular,LI_HF_Reg,LI_HF_Reg,Verb
46,beach,showtrial,Real,6,high,high,regular,HI_HF_Reg,LI_HF_Reg,Noun
47,crumb,showtrial,Real,6,high,low,regular,HI_LF_Reg,HI_HF_Reg,Noun
48,sword,showtrial,Real,6,high,high,irregular,HI_HF_Irr,HI_LF_Reg,Noun
49,lunch,showtrial,Real,6,high,high,regular,HI_HF_Reg,HI_HF_Irr,Noun
50,soul,showtrial,Real,6,low,high,irregular,LI_HF_Irr,HI_HF_Reg,Noun
51,dense,showtrial,Real,6,low,low,regular,LI_LF_Reg,LI_HF_Irr,Adjective
52,slack,showtrial,Real,6,low,low,regular,LI_LF_Reg,LI_LF_Reg,Noun
53,bear,showtrial,Real,6,high,high,irregular,HI_HF_Irr,LI_LF_Reg,Noun
54,late,showtrial,Real,6,low,high,regular,LI_HF_Reg,HI_HF_Irr,Adjective
55,BREAK,showasbreak,break,6,N/A,N/A,N/A,N/A,N/A,N/A
56,bless,showtrial,Real,7,low,high,regular,LI_HF_Reg,LI_HF_Reg,Verb
57,heir,showtrial,Real,7,low,low,irregular,LI_LF_Irr,LI_HF_Reg,Noun
58,scribe,showtrial,Real,7,low,low,regular,LI_LF_Reg,LI_LF_Irr,Noun
59,yacht,showtrial,Real,7,high,low,irregular,HI_LF_Irr,LI_LF_Reg,Noun
60,bowl,showtrial,Real,7,high,high,irregular,HI_HF_Irr,HI_LF_Irr,Noun
61,gross,showtrial,Real,7,low,high,irregular,LI_HF_Irr,HI_HF_Irr,Adjective
62,isle,showtrial,Real,7,high,low,irregular,HI_LF_Irr,LI_HF_Irr,Noun
63,first,showtrial,Real,7,high,high,regular,HI_HF_Reg,HI_LF_Irr,Adverb
64,sown,showtrial,Real,7,low,low,irregular,LI_LF_Irr,HI_HF_Reg,Verb
65,bored,showtrial,Real,7,low,high,regular,LI_HF_Reg,LI_LF_Irr,Adjective
66,flow,showtrial,Real,7,low,high,irregular,LI_HF_Irr,LI_HF_Reg,Noun
67,shirt,showtrial,Real,7,high,high,regular,HI_HF_Reg,LI_HF_Irr,Noun
68,ail,showtrial,Real,7,low,low,regular,LI_LF_Reg,HI_HF_Reg,Verb
69,crest,showtrial,Real,7,high,low,regular,HI_LF_Reg,LI_LF_Reg,Noun
70,rough,showtrial,Real,7,low,high,irregular,LI_HF_Irr,HI_LF_Reg,Adjective
71,thyme,showtrial,Real,7,low,low,irregular,LI_LF_Irr,LI_HF_Irr,Noun
72,pear,showtrial,Real,7,high,low,irregular,HI_LF_Irr,LI_LF_Irr,Noun
73,suede,showtrial,Real,7,high,low,irregular,HI_LF_Irr,HI_LF_Irr,Noun
74,phase,showtrial,Real,7,low,high,irregular,LI_HF_Irr,HI_LF_Irr,Noun
75,hedge,showtrial,Real,7,high,low,regular,HI_LF_Reg,LI_HF_Irr,Noun
76,sheer,showtrial,Real,7,low,low,regular,LI_LF_Reg,HI_LF_Reg,Adjective
77,sit,showtrial,Real,7,high,high,regular,HI_HF_Reg,LI_LF_Reg,Verb
78,ghoul,showtrial,Real,7,high,low,irregular,HI_LF_Irr,HI_HF_Reg,Noun
79,scarce,showtrial,Real,7,low,low,irregular,LI_LF_Irr,HI_LF_Irr,Adjective
80,shoe,showtrial,Real,7,high,high,irregular,HI_HF_Irr,LI_LF_Irr,Noun
81,BREAK,showasbreak,break,7,N/A,N/A,N/A,N/A,N/A,N/A
82,climb,showtrial,Real,8,high,high,irregular,HI_HF_Irr,HI_HF_Irr,Verb
83,sheen,showtrial,Real,8,low,low,regular,LI_LF_Reg,HI_HF_Irr,Noun
84,hate,showtrial,Real,8,low,high,regular,LI_HF_Reg,LI_LF_Reg,Verb
85,plaid,showtrial,Real,8,high,low,irregular,HI_LF_Irr,LI_HF_Reg,Noun
86,wink,showtrial,Real,8,high,low,regular,HI_LF_Reg,HI_LF_Irr,Noun
87,fiend,showtrial,Real,8,low,low,irregular,LI_LF_Irr,HI_LF_Reg,Noun
88,scheme,showtrial,Real,8,low,low,irregular,LI_LF_Irr,LI_LF_Irr,Noun
89,dance,showtrial,Real,8,high,high,regular,HI_HF_Reg,LI_LF_Irr,Verb
90,wish,showtrial,Real,8,low,high,regular,LI_HF_Reg,HI_HF_Reg,Verb
91,surge,showtrial,Real,8,low,low,regular,LI_LF_Reg,LI_HF_Reg,Noun
92,weird,showtrial,Real,8,low,high,irregular,LI_HF_Irr,LI_LF_Reg,Adjective
93,blown,showtrial,Real,8,low,high,irregular,LI_HF_Irr,LI_HF_Irr,Verb
94,youth,showtrial,Real,8,high,high,irregular,HI_HF_Irr,LI_HF_Irr,Noun
95,comb,showtrial,Real,8,high,low,irregular,HI_LF_Irr,HI_HF_Irr,Verb
96,mauve,showtrial,Real,8,high,low,irregular,HI_LF_Irr,HI_LF_Irr,Adjective
97,fame,showtrial,Real,8,low,low,regular,LI_LF_Reg,HI_LF_Irr,Noun
98,ewe,showtrial,Real,8,low,low,irregular,LI_LF_Irr,LI_LF_Reg,Noun
99,claw,showtrial,Real,8,high,low,regular,HI_LF_Reg,LI_LF_Irr,Noun
100,shape,showtrial,Real,8,high,high,regular,HI_HF_Reg,HI_LF_Reg,Noun
101,witch,showtrial,Real,8,high,high,regular,HI_HF_Reg,HI_HF_Reg,Noun
102,foot,showtrial,Real,8,high,high,irregular,HI_HF_Irr,HI_HF_Reg,Noun
103,crab,showtrial,Real,8,high,low,regular,HI_LF_Reg,HI_HF_Irr,Noun
104,stole,showtrial,Real,8,low,high,regular,LI_HF_Reg,HI_LF_Reg,Verb
105,tongue,showtrial,Real,8,high,high,irregular,HI_HF_Irr,LI_HF_Reg,Noun
106,sieve,showtrial,Real,8,low,low,irregular,LI_LF_Irr,HI_HF_Irr,Noun
