ItemNum,Procedure,Item,CRESP,TrialType,WordType,Frequency,Regularity,Imageability,PartofSpeech,Lexicality,
105,showtrial,rarce,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo,
106,showtrial,sit,yes,Real,HF_HI_Regular,high,Regular,high,Verb,Real,
107,showtrial,teapt,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo,
108,showtrial,womb,yes,Real,LF_HI_Exception,low,Exception,high,Noun,Real,
109,showtrial,toast,yes,Real,HF_HI_Regular,high,Regular,high,Noun,Real,
110,showtrial,gote,no,Real,PH,N/A,N/A,N/A,N/A,Pseudo,
111,showtrial,fraud,yes,Real,HF_LI_Regular,high,Regular,low,Noun,Real,
112,showtrial,vage,no,Real,PW_Analogy_Regular,N/A,N/A,N/A,N/A,Pseudo,
113,showasbreak,BREAK,,Break,,N/A,N/A,N/A,N/A,N/A,
114,showtrial,wust,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo,
115,showtrial,grape,yes,Real,LF_HI_Regular,low,Regular,high,Noun,Real,
116,showtrial,black,yes,Real,HF_HI_Regular,high,Regular,high,Adjective,Real,
117,showtrial,yint,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo,
118,showtrial,beach,yes,Real,HF_HI_Regular,high,Regular,high,Noun,Real,
119,showtrial,stoth,no,Real,PW_Inconsistent,N/A,N/A,N/A,N/A,Pseudo,
120,showtrial,treap,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo,
121,showtrial,must,yes,Real,HF_LI_Regular,high,Regular,low,Verb,Real,
122,showtrial,furch,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo,
123,showtrial,sledge,yes,Real,LF_LI_Regular,low,Regular,low,Noun,Real,
124,showtrial,yacht,yes,Real,LF_HI_Exception,low,Exception,high,Noun,Real,
125,showtrial,farc,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo,
126,showtrial,yield,yes,Real,LF_HI_Regular,low,Regular,high,Verb,Real,
127,showtrial,flude,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo,
128,showtrial,slind,no,Real,PW_Inconsistent,N/A,N/A,N/A,N/A,Pseudo,
129,showtrial,trait,yes,Real,LF_LI_Regular,low,Regular,low,Noun,Real,
130,showtrial,kard,no,Real,PH,N/A,N/A,N/A,N/A,Pseudo,
131,showtrial,poir,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo,
132,showtrial,heard,yes,Real,HF_LI_Exception,high,Exception,low,Verb,Real,
133,showtrial,strisk,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo,
134,showtrial,wolf,yes,Real,HF_HI_Exception,high,Exception,high,Noun,Real,
135,showtrial,yoon,no,Real,PW_Analogy_Regular,N/A,N/A,N/A,N/A,Pseudo,
136,showtrial,theme,yes,Real,HF_LI_Regular,high,Regular,low,Noun,Real,
137,showtrial,belve,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo,
138,showtrial,weird,yes,Real,HF_LI_Exception,high,Exception,low,Adjective,Real,
139,showtrial,bough,yes,Real,LF_LI_Exception,low,Exception,low,Noun,Real,
140,showtrial,dack,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo,
141,showtrial,bear,yes,Real,HF_HI_Exception,high,Exception,high,Noun,Real,
142,showtrial,hour,yes,Real,HF_LI_Exception,high,Exception,low,Noun,Real,
143,showtrial,wost,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo,
144,showtrial,risk,yes,Real,HF_LI_Regular,high,Regular,low,Noun,Real,
145,showtrial,soat,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo,
146,showtrial,reap,yes,Real,LF_LI_Regular,low,Regular,low,Verb,Real,
147,showtrial,scheme,yes,Real,LF_LI_Exception,low,Exception,low,Noun,Real,
148,showtrial,loul,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo,
149,showtrial,wish,yes,Real,HF_LI_Regular,high,Regular,low,Verb,Real,
150,showtrial,fouch,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo,
151,showtrial,pear,yes,Real,LF_HI_Exception,low,Exception,high,Noun,Real,
152,showtrial,shoe,yes,Real,HF_HI_Exception,high,Exception,high,Noun,Real,
153,showtrial,blirst,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo,
154,showtrial,once,yes,Real,HF_LI_Exception,high,Exception,low,Adverb,Real,
155,showtrial,hoap,no,Real,PH,N/A,N/A,N/A,N/A,Pseudo,
156,showtrial,pike,yes,Real,LF_HI_Regular,low,Regular,high,Noun,Real,
157,showtrial,drost,no,Real,PW_Inconsistent,N/A,N/A,N/A,N/A,Pseudo,
158,showtrial,flask,yes,Real,LF_HI_Regular,low,Regular,high,Noun,Real,
159,showtrial,nink,no,Real,PW_Regular,N/A,N/A,N/A,N/A,Pseudo,
160,showtrial,thown,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo,
161,showtrial,doad,no,Real,PW_Exception,N/A,N/A,N/A,N/A,Pseudo,
162,showtrial,pint,yes,Real,LF_HI_Exception,low,Exception,high,Noun,Real,
163,showtrial,stole,yes,Real,HF_LI_Regular,high,Regular,low,Verb,Real,
164,showtrial,coup,yes,Real,LF_LI_Exception,low,Exception,low,Noun,Real,
165,showtrial,stail,no,Real,PH,N/A,N/A,N/A,N/A,Pseudo,
166,showtrial,dearth,yes,Real,LF_LI_Exception,low,Exception,low,Noun,Real,,
