Weight,Nested,Procedure,word,forwardbutton,TrialWasAdministered,TrialType,Repetitions,BlockNumber,LetterCount,SyllableCount,PartOfSpeech
1,,showtrial,piano,forwardbutton,0,real,0,,5,3,N
1,,showtrial,with,forwardbutton,0,real,0,,4,1,F
1,,showtrial,airport,forwardbutton,0,real,0,,7,2,N
1,,showtrial,era,forwardbutton,0,real,0,,3,2,N
1,,showasbreak,BREAK,forwardbutton,0,break,0,,N/A,N/A,N/A
1,,showtrial,give,forwardbutton,0,real,0,,4,1,V
1,,showtrial,scrounge,forwardbutton,0,real,0,,8,1,V
1,,showtrial,until,forwardbutton,0,real,0,,5,2,F
1,,showtrial,because,forwardbutton,0,real,0,,7,2,F
1,,showtrial,city,forwardbutton,0,real,0,,4,2,N
1,,showtrial,article,forwardbutton,0,real,0,,7,3,N
1,,showtrial,this,forwardbutton,0,real,0,,4,1,F
1,,showtrial,see,forwardbutton,0,real,0,,3,1,V
1,,showtrial,victim,forwardbutton,0,real,0,,6,2,N
1,,showtrial,discuss,forwardbutton,0,real,0,,7,2,V
1,,showtrial,peace,forwardbutton,0,real,0,,5,1,N
1,,showtrial,undo,forwardbutton,0,real,0,,4,2,V
1,,showtrial,for,forwardbutton,0,real,0,,3,1,F
1,,showtrial,birthday,forwardbutton,0,real,0,,8,2,N
1,,showtrial,energy,forwardbutton,0,real,0,,6,3,N
1,,showtrial,add,forwardbutton,0,real,0,,3,1,V
1,,showtrial,totem,forwardbutton,0,real,0,,5,2,N
1,,showtrial,organize,forwardbutton,0,real,0,,8,3,V
1,,showtrial,widow,forwardbutton,0,real,0,,5,2,N
1,,showtrial,customer,forwardbutton,0,real,0,,8,3,N
1,,showtrial,mow,forwardbutton,0,real,0,,3,1,V
1,,showtrial,develop,forwardbutton,0,real,0,,7,3,V
1,,showtrial,who,forwardbutton,0,real,0,,3,1,F
1,,showtrial,memorize,forwardbutton,0,real,0,,8,3,V
